Date	SMS04000000500000001	SMS04000001000000001	SMS04000002000000001	SMS04000003000000001	SMS04000004000000001	SMS04000005000000001	SMS04000006000000001	SMS04000007000000001	SMS04000008000000001	SMS04000009000000001
Jan 1990			85.4	177.5	310.9	32.6	142.2	158.9	55.1	266.1
Jan 1990	1207.7	12.4	85.4	177.5	310.9	32.6	142.2	158.9	55.1	266.1
Feb 1990	1208.3	12.4	85.4	177.6	311.4	32.5	141.2	159.5	55.3	267.6
Dec 2005	2169.2	9.0	233.5	185.1	500.7	45.6	376.7	259.6	93.2	403.4
Mar 1990	1210.4	12.5	85.3	177.3	312.4	32.2	142.6	159.1	55.3	268.3
Apr 1990	1213.7	12.4	84.8	176.5	311.4	33.6	142.5	159.6	58.1	271.2
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
May 1990	1211.5	12.4	84.0	176.7	311.4	33.4	141.4	159.6	58.0	276.5
Jun 1990	1212.5	12.5	83.7	176.7	312.1	33.3	142.3	159.3	57.8	269.8
Jul 1990	1211.0	12.6	83.6	177.2	309.8	33.0	145.5	158.4	57.4	273.4
Aug 1990	1210.8	12.6	83.6	176.6	310.3	32.8	144.0	158.6	58.0	272.6
Sep 1990	1211.9	12.8	84.5	175.9	311.0	32.7	143.8	159.0	58.2	273.9
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Oct 1990	1210.6	12.7	84.5	175.6	309.9	32.4	143.0	158.8	59.7	275.7
Nov 1990	1212.0	12.8	83.4	175.5	310.1	32.4	143.3	160.3	59.8	277.6
Dec 1990	1205.2	12.9	82.0	174.4	308.3	32.1	141.5	160.2	59.9	279.3
Jan 1991	1217.4	13.2	83.5	174.5	307.9	32.1	147.8	160.7	58.3	279.9
Feb 1991	1212.4	13.3	81.6	172.9	307.8	31.7	147.2	160.1	58.2	280.5
Mar 1991	1209.1	13.1	80.5	172.3	307.4	31.9	146.7	160.0	58.1	282.9
Apr 1991	1203.9	13.0	79.8	171.2	307.4	31.4	147.0	159.2	58.1	283.6
May 1991	1200.7	13.2	79.0	170.2	306.7	31.0	146.1	159.7	57.7	284.6
Jun 1991	1200.5	13.2	79.0	169.8	307.5	30.9	146.5	158.2	57.9	287.6
Jul 1991	1201.4	13.3	80.2	169.9	305.2	31.1	146.4	159.6	57.0	283.9
Aug 1991	1202.3	13.3	78.9	170.2	305.1	30.8	147.3	160.0	56.9	284.5
Sep 1991	1201.9	13.3	79.1	169.3	303.6	30.8	148.1	161.1	56.9	286.6
Oct 1991	1207.8	13.5	79.3	169.5	304.7	30.7	149.7	161.4	57.6	288.0
Nov 1991	1210.4	13.6	79.7	169.2	304.5	30.4	151.0	162.0	57.7	288.0
Dec 1991	1212.5	13.6	79.7	169.1	305.9	30.6	150.2	163.0	57.7	288.0
Jan 1992	1210.8	13.0	79.9	167.3	307.2	30.2	155.0	162.0	57.3	290.0
Feb 1992	1212.4	13.0	80.4	167.9	306.6	30.1	155.5	162.6	57.0	288.5
Mar 1992	1211.9	12.9	80.6	166.1	306.8	30.1	156.8	161.7	57.0	288.4
Apr 1992	1216.4	12.8	81.3	167.5	306.0	30.2	157.3	163.2	57.0	288.8
May 1992	1223.7	13.0	82.8	167.3	306.7	30.3	159.7	163.8	57.4	289.2
Jun 1992	1225.9	13.0	82.8	167.2	305.8	30.3	160.6	165.2	57.9	289.3
Jul 1992	1231.2	13.3	82.9	166.6	306.8	29.5	162.2	165.6	58.3	289.4
Aug 1992	1233.5	13.1	83.5	166.2	307.1	29.5	162.8	166.1	58.6	292.1
Sep 1992	1236.8	13.1	83.3	166.6	307.1	29.6	164.5	166.2	58.9	298.4
Oct 1992	1235.3	13.0	83.0	166.4	305.8	29.6	164.7	166.4	58.3	290.5
Nov 1992	1237.0	13.0	83.5	166.1	305.7	29.7	165.7	166.7	58.3	289.9
Dec 1992	1240.1	13.0	83.4	166.2	305.7	29.8	166.3	167.1	58.2	291.5
Jan 1993	1244.9	12.9	82.3	167.2	307.1	30.1	165.6	168.6	58.8	290.1
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Mar 1993	1258.9	12.8	86.4	168.1	308.9	30.4	168.7	169.3	59.8	293.7
Mar 1993	1258.9	12.8	86.4	168.1	308.9	30.4	168.7	169.3	59.8	293.7
Mar 1993	1258.9	12.8	86.4	168.1	308.9	30.4	168.7	169.3	59.8	293.7
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Jun 2007	2263.5	11.0	228.4	181.7	528.4	41.7	405.1	272.0	99.4	420.2
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Feb 1993	1253.1	12.9	84.6	167.4	308.3	30.2	167.1	168.9	59.3	292.6
Mar 1993	1258.9	12.8	86.4	168.1	308.9	30.4	168.7	169.3	59.8	293.7
Apr 1993	1273.8	12.8	88.4	167.9	313.5	30.2	171.0	173.1	60.4	292.4
May 1993	1282.3	12.9	89.8	168.7	313.1	30.1	174.1	175.3	60.3	293.8
Jun 1993	1286.2	12.7	90.8	168.4	313.6	30.5	175.3	176.0	60.3	295.7
Jul 1993	1290.4	12.5	92.7	169.4	316.5	30.8	173.6	176.1	59.9	296.4
Aug 1993	1295.9	12.5	94.0	169.9	317.2	30.9	175.2	176.7	59.8	295.7
Sep 1993	1306.6	12.5	95.7	170.6	320.5	30.8	176.6	178.4	60.1	296.1
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Oct 1993	1317.8	12.5	97.7	171.2	325.6	30.7	178.4	180.1	59.5	298.9
Nov 1993	1323.3	12.4	98.9	172.3	326.7	30.8	179.4	180.2	59.1	298.4
Dec 1993	1333.4	12.4	100.9	173.2	329.1	31.1	181.5	181.2	59.0	299.3
Jan 1994	1344.0	11.5	103.1	175.3	331.1	30.9	183.1	182.2	58.9	298.8
Feb 1994	1349.8	11.5	104.2	175.9	332.0	30.8	184.3	183.6	58.9	298.3
Mar 1994	1358.0	11.6	105.6	177.1	334.5	31.1	185.5	184.4	58.9	298.2
Apr 1994	1368.2	11.8	106.5	179.1	336.2	31.4	188.5	184.8	60.6	299.0
May 1994	1374.5	11.9	107.8	180.1	338.3	31.7	188.6	184.7	60.7	300.2
Jun 1994	1383.2	11.9	108.7	181.3	341.1	31.9	191.0	184.7	61.0	302.9
Jul 1994	1394.0	12.0	110.0	182.5	345.4	32.0	193.9	185.5	61.9	304.7
Aug 1994	1402.6	12.1	111.4	183.8	346.5	32.3	196.0	186.5	62.1	309.2
Sep 1994	1409.1	12.1	113.0	184.5	348.5	32.6	197.2	186.5	62.5	306.0
Oct 1994	1418.0	12.2	114.3	185.9	349.3	33.2	199.2	188.5	62.3	304.8
Nov 1994	1429.2	12.4	115.6	187.3	351.3	33.6	202.4	189.7	62.8	307.5
Dec 1994	1437.7	12.3	116.5	187.9	353.6	33.9	205.0	190.6	63.0	306.3
Jan 1995	1447.3	12.2	120.1	187.5	354.9	34.2	209.2	192.1	63.5	306.6
Feb 1995	1456.1	12.5	121.5	188.8	356.4	34.8	211.5	193.0	63.5	306.6
Mar 1995	1461.9	12.7	122.6	189.1	356.8	35.0	213.7	193.8	63.3	304.1
Apr 1995	1464.9	12.9	123.2	191.1	356.7	35.1	214.0	193.6	62.7	310.1
May 1995	1469.6	12.8	123.8	191.3	357.7	35.3	215.3	195.0	62.2	313.3
Jun 1995	1480.4	12.9	125.2	192.5	359.8	35.7	217.6	196.3	62.4	311.9
Jul 1995	1484.2	13.8	125.1	190.4	361.1	34.8	218.6	198.7	62.5	313.5
Aug 1995	1491.4	13.9	127.0	191.0	362.1	35.2	220.5	199.3	62.6	312.1
Sep 1995	1498.0	13.9	127.8	192.4	362.5	35.6	222.2	199.5	62.3	312.6
Oct 1995	1508.7	13.5	128.6	193.2	366.2	35.8	226.5	197.6	63.2	312.4
Nov 1995	1513.3	13.7	129.1	193.6	365.3	36.2	228.8	198.5	63.3	312.2
Dec 1995	1520.8	14.0	130.4	195.0	366.2	36.1	230.7	198.3	63.4	313.0
Jan 1996	1540.1	14.3	131.4	196.8	370.4	36.3	235.6	201.2	63.5	317.1
Feb 1996	1545.3	14.4	131.8	196.9	370.8	35.9	238.1	202.0	63.7	319.0
Mar 1996	1549.8	14.3	131.6	197.7	370.7	36.3	239.7	202.2	63.8	318.8
Apr 1996	1555.9	14.3	131.5	197.6	373.7	36.8	239.2	204.4	64.4	310.1
May 1996	1564.9	14.5	132.7	198.5	375.2	37.4	242.8	203.2	64.4	312.0
Jun 1996	1570.5	14.5	133.7	199.1	375.5	37.5	245.5	203.1	64.3	315.0
Jul 1996	1577.4	14.5	133.6	199.4	376.9	38.2	246.9	202.7	64.3	315.8
